nr populacji, czas minimalny, czas maksymalny, czas sredni
0, 558.0,742.0,660.17
1, 558.0,697.0,618.72
2, 557.0,640.0,577.54
3, 530.0,603.0,563.35
4, 513.0,603.0,556.34
5, 513.0,573.0,541.94
6, 507.0,590.0,529.6
7, 504.0,566.0,520.09
8, 504.0,550.0,514.58
9, 504.0,544.0,511.08
10, 503.0,558.0,509.38
11, 503.0,543.0,509.55
12, 495.0,537.0,505.97
13, 495.0,555.0,508.22
14, 495.0,549.0,507.17
15, 495.0,548.0,500.62
16, 495.0,553.0,498.76
17, 495.0,531.0,500.12
18, 494.0,523.0,498.0
19, 494.0,531.0,498.27
20, 494.0,556.0,500.45
21, 487.0,531.0,497.51
22, 487.0,553.0,498.33
23, 487.0,554.0,496.72
24, 487.0,539.0,495.61
25, 487.0,558.0,497.22
26, 487.0,558.0,494.78
27, 487.0,542.0,493.38
28, 487.0,526.0,495.94
29, 487.0,524.0,491.04
30, 487.0,555.0,495.98
31, 487.0,532.0,495.98
32, 487.0,524.0,492.75
33, 487.0,532.0,493.87
34, 487.0,563.0,495.01
35, 487.0,546.0,492.75
36, 487.0,526.0,494.01
37, 487.0,535.0,492.21
38, 487.0,524.0,493.67
39, 487.0,547.0,493.66
40, 487.0,553.0,491.73
41, 487.0,582.0,496.34
42, 487.0,532.0,493.1
43, 487.0,544.0,494.96
44, 487.0,551.0,495.14
45, 487.0,535.0,495.5
46, 487.0,547.0,495.14
47, 487.0,524.0,493.14
48, 487.0,524.0,493.21
49, 487.0,532.0,494.33
50, 487.0,555.0,495.98
51, 487.0,536.0,492.63
52, 487.0,538.0,494.19
53, 487.0,535.0,492.57
54, 487.0,555.0,494.32
55, 487.0,524.0,493.31
56, 487.0,534.0,496.38
57, 487.0,524.0,493.62
58, 487.0,526.0,492.31
59, 487.0,527.0,495.84
60, 487.0,546.0,493.41
61, 487.0,524.0,492.55
62, 487.0,524.0,492.28
63, 487.0,539.0,494.3
64, 487.0,531.0,493.46
65, 487.0,534.0,494.47
66, 487.0,521.0,492.64
67, 487.0,553.0,492.39
68, 487.0,532.0,494.72
69, 487.0,532.0,492.86
70, 487.0,555.0,493.57
71, 487.0,527.0,493.64
72, 487.0,545.0,494.75
73, 487.0,524.0,493.3
74, 487.0,557.0,495.01
75, 487.0,526.0,492.41
76, 487.0,524.0,494.31
77, 487.0,563.0,495.32
78, 487.0,524.0,491.72
79, 487.0,567.0,494.86
80, 487.0,546.0,495.3
81, 487.0,551.0,491.98
82, 487.0,552.0,491.88
83, 487.0,527.0,493.28
84, 487.0,532.0,494.57
85, 487.0,553.0,493.28
86, 487.0,524.0,491.71
87, 487.0,529.0,493.9
88, 487.0,554.0,494.35
89, 487.0,550.0,494.64
90, 487.0,526.0,493.41
91, 487.0,561.0,496.22
92, 487.0,525.0,495.52
93, 487.0,526.0,492.8
94, 487.0,526.0,492.63
95, 487.0,569.0,495.91
96, 487.0,532.0,493.07
97, 487.0,551.0,494.65
98, 487.0,560.0,494.42
99, 487.0,524.0,492.61
